Joueur,Buts,Tirs
Hakim Ziyech,1,10
Anass Zaroury,0,0
Jawad El Yamiq,0,2
Romain Saïss,1,1
Abdelhamid Sabiri,0,3
Azzedine Ounahi,0,6
Munir,0,0
Noussair Mazraoui,0,4
Bilal El Khannous,0,0
Yahya Jabrane,0,0
Abderrazak Hamdallah,0,2
Achraf Hakimi,0,4
Abdessamad Ezzalzouli,0,1
Youssef En-Nesyri,2,9
Achraf Dari,1,1
Walid Cheddira,0,2
Ilias Chair,0,0
Yassine Bounou,0,0
Sofiane Boufal,0,7
Badr Banoun,0,0
Yahya Attiat Allah,0,2
Sofyan Amrabat,0,1
Selim Amallah,0,2
Nayef Aguerd,0,1
Zakaria Aboukhlal,1,3
Total de l'équipe,6,61
Total adversaire,4,71
